Temp_Treatment,pH_Treatment,Mean_Temp_C,SD_Temp_C
12,Ambient,12.686411237298266,0.3140855948275401
12,Low,12.392559473998805,0.2800032941641972
14,Ambient,14.090179916317991,0.3256305267741704
14,Low,13.812690376569037,0.704554934673752
16,Ambient,16.000886431560073,0.24943347519584755
16,Low,16.71833353257621,0.7385590268265086
18,Ambient,18.01425941422594,0.3223177965635749
18,Low,18.563881649731023,0.6907894652074893
20,Ambient,20.799386730424384,0.7696419165380255
20,Low,20.357791990436343,0.8114832582334752
22,Ambient,22.24097489539749,0.7570570322255887
22,Low,23.74645726240287,1.8658704968534132
24,Ambient,25.3532432755529,1.325456520048555
24,Low,23.76740765092648,1.0726452938631117
26,Ambient,25.706072922893004,1.2597672245901288
26,Low,25.79913448894202,2.329542120530208
