"Temp_Treatment","pH_Treatment","Cage_ID","Snail_ID","Algae_ID","Tank_ID","Identity"
12,"Low","1","1","1","Tank_9","Treatment"
12,"Low","2","2","2","Tank_9","Treatment"
12,"Low","3","3","3","Tank_9","Treatment"
12,"Low","4","4","4","Tank_9","Treatment"
12,"Low","Control-05","Control-05","Control-05","Tank_9","Control"
14,"Low","6","6","6","Tank_2","Treatment"
14,"Low","7","7","7","Tank_2","Treatment"
14,"Low","8","8","8","Tank_2","Treatment"
14,"Low","9","9","9","Tank_2","Treatment"
14,"Low","Control-10","Control-10","Control-10","Tank_2","Control"
16,"Low","11","11","11","Tank_3","Treatment"
16,"Low","12","12","12","Tank_3","Treatment"
16,"Low","13","13","13","Tank_3","Treatment"
16,"Low","14","14","14","Tank_3","Treatment"
16,"Low","Control-15","Control-15","Control-15","Tank_3","Control"
18,"Low","16","16","16","Tank_4","Treatment"
18,"Low","17","17","17","Tank_4","Treatment"
18,"Low","18","18","18","Tank_4","Treatment"
18,"Low","19","19","19","Tank_4","Treatment"
18,"Low","Control-20","Control-20","Control-20","Tank_4","Control"
20,"Low","21","21","21","Tank_5","Treatment"
20,"Low","22","22","22","Tank_5","Treatment"
20,"Low","23","23","23","Tank_5","Treatment"
20,"Low","24","24","24","Tank_5","Treatment"
20,"Low","Control-25","Control-25","Control-25","Tank_5","Control"
22,"Low","26","26","26","Tank_6","Treatment"
22,"Low","27","27","27","Tank_6","Treatment"
22,"Low","28","28","28","Tank_6","Treatment"
22,"Low","29","29","29","Tank_6","Treatment"
22,"Low","Control-30","Control-30","Control-30","Tank_6","Control"
24,"Low","31","31","31","Tank_7","Treatment"
24,"Low","32","32","32","Tank_7","Treatment"
24,"Low","33","33","33","Tank_7","Treatment"
24,"Low","34","34","34","Tank_7","Treatment"
24,"Low","Control-35","Control-35","Control-35","Tank_7","Control"
26,"Low","36","36","36","Tank_8","Treatment"
26,"Low","37","37","37","Tank_8","Treatment"
26,"Low","38","38","38","Tank_8","Treatment"
26,"Low","39","39","39","Tank_8","Treatment"
26,"Low","Control-40","Control-40","Control-40","Tank_8","Control"
12,"Ambient","41","41","41","Tank_18","Treatment"
12,"Ambient","42","42","42","Tank_18","Treatment"
12,"Ambient","43","43","43","Tank_18","Treatment"
12,"Ambient","44","44","44","Tank_18","Treatment"
12,"Ambient","Control-45","Control-45","Control-45","Tank_18","Control"
14,"Ambient","46","46","46","Tank_10","Treatment"
14,"Ambient","47","47","47","Tank_10","Treatment"
14,"Ambient","48","48","48","Tank_10","Treatment"
14,"Ambient","49","49","49","Tank_10","Treatment"
14,"Ambient","Control-50","Control-50","Control-50","Tank_10","Control"
16,"Ambient","51","51","51","Tank_11","Treatment"
16,"Ambient","52","52","52","Tank_11","Treatment"
16,"Ambient","53","53","53","Tank_11","Treatment"
16,"Ambient","54","54","54","Tank_11","Treatment"
16,"Ambient","Control-55","Control-55","Control-55","Tank_11","Control"
18,"Ambient","56","55","56","Tank_12","Treatment"
18,"Ambient","57","57","57","Tank_12","Treatment"
18,"Ambient","58","58","58","Tank_12","Treatment"
18,"Ambient","59","59","59","Tank_12","Treatment"
18,"Ambient","Control-60","Control-60","Control-60","Tank_12","Control"
20,"Ambient","61","61","61","Tank_13","Treatment"
20,"Ambient","62","62","62","Tank_13","Treatment"
20,"Ambient","63","63","63","Tank_13","Treatment"
20,"Ambient","64","64","64","Tank_13","Treatment"
20,"Ambient","Control-65","Control-65","Control-65","Tank_13","Control"
22,"Ambient","66","66","66","Tank_14","Treatment"
22,"Ambient","67","67","67","Tank_14","Treatment"
22,"Ambient","68","68","68","Tank_14","Treatment"
22,"Ambient","69","69","69","Tank_14","Treatment"
22,"Ambient","Control-70","Control-70","Control-70","Tank_14","Control"
24,"Ambient","71","65","71","Tank_15","Treatment"
24,"Ambient","72","72","72","Tank_15","Treatment"
24,"Ambient","73","73","73","Tank_15","Treatment"
24,"Ambient","74","50","74","Tank_15","Treatment"
24,"Ambient","Control-75","Control-75","Control-75","Tank_15","Control"
26,"Ambient","76","75","76","Tank_16","Treatment"
26,"Ambient","77","77","77","Tank_16","Treatment"
26,"Ambient","78","60","78","Tank_16","Treatment"
26,"Ambient","79","70","79","Tank_16","Treatment"
26,"Ambient","Control-80","Control-80","Control-80","Tank_16","Control"
