Snail_ID,Dry_Weight_g,Ash_Content_g,Ash_Free_Dry_Weight
1,0.1397,0.1201,0.13953222029999998
2,0.1224,0.1092,0.12226633919999999
3,0.1529,0.1283,0.1527038293
4,0.1778,0.1552,0.17752405440000002
Control-05,0,0,0
6,0.1177,0.1026,0.1175792398
7,0.1277,0.1089,0.12756093470000002
8,0.0866,0.1035,0.08651036899999999
9,0.1839,0.154,0.183616794
Control-10,0,0,0
11,0.1008,0.1399,0.10065898079999999
12,0.1165,0.1443,0.11633189050000001
13,0.1266,0.1462,0.1264149108
14,0.15,0.1291,0.14980634999999998
Control-15,0,0,0
16,0.1467,0.1273,0.1465132509
17,0.1774,0.1539,0.17712698140000002
18,0.1755,0.1586,0.175221657
19,0.1699,0.1476,0.16964922759999998
Control-20,0,0,0
21,0.0933,0.1022,0.09320464739999999
22,0.1307,0.1132,0.1305520476
23,0.1099,0.0951,0.10979548509999999
24,0.1412,0.1313,0.1410146044
Control-25,0,0,0
26,0.1138,0.099,0.113687338
27,0.1405,0.1159,0.1403371605
28,0.1402,0.1173,0.1400355454
29,0.1446,0.1185,0.14442864900000002
Control-30,0,0,0
31,0.1168,0.0998,0.1166834336
32,0.1227,0.106,0.122569938
33,0.1002,0.0874,0.1001124252
34,0.126,0.1006,0.125873244
Control-35,0,0,0
36,0.1321,0.1148,0.13194834919999998
37,0.2512,0.2147,0.2506606736
38,0.1263,0.1163,0.1261531131
39,0.2575,0.2232,0.25692526
Control-40,0,0,0
41,0.1481,0.1279,0.1479105801
42,0.1178,0.1023,0.1176794906
43,0.1437,0.1232,0.1435229616
44,0.1143,0.098,0.114187986
Control-45,0,0,0
46,0.1202,0.1312,0.1200422976
47,0.1162,0.1128,0.1160689264
48,0.1536,0.1328,0.15339601919999998
49,0.1469,0.1282,0.1467116742
Control-50,0,0,0
51,0.1162,0.1044,0.11607868719999999
52,0.1547,0.1294,0.1544998182
53,0.1561,0.1112,0.1559264168
54,0.2097,0.1439,0.20939824170000002
Control-55,0,0,0
55,0.1338,0.114,0.133647468
57,0.1543,0.1396,0.1540845972
58,0.0997,0.1259,0.0995744777
59,0.137,0.1211,0.13683409300000002
Control-60,0,0,0
61,0.1647,0.1342,0.16447897260000002
62,0.112,0.0967,0.111891696
63,0.1166,0.1105,0.11647115699999999
64,0.1349,0.1199,0.1347382549
Control-65,0,0,0
66,0.2334,0.1281,0.2331010146
67,0.1368,0.1107,0.1366485624
68,0.2764,0.1145,0.27608352199999997
69,0.0995,0.0974,0.099403087
Control-70,0,0,0
65,0.1041,0.0909,0.10400537309999999
72,0.136,0.1196,0.13583734400000003
73,0.1113,0.1024,0.11118602879999999
50,0.3045,0.152,0.30403716000000003
Control-75,0,0,0
75,0.1198,0.0945,0.119686789
77,0.1212,0.1153,0.12106025640000001
60,0.1349,0.1232,0.1347338032
70,0.1375,0.1223,0.13733183750000003
Control-80,0,0,0
