Temp_Treatment,pH_Treatment,J.gram.hr
12,Low,5.0020481248002735
12,Low,4.9519929171145485
12,Low,6.2482091671901046
12,Low,5.751797154736299
14,Low,11.749333759457445
14,Low,11.837991804715738
14,Low,10.397925677288509
14,Low,8.705859326453288
16,Low,9.747702414874187
16,Low,9.679279824492914
16,Low,8.346083589142578
16,Low,10.468430227036508
18,Low,17.68392533642777
18,Low,13.774049610460812
18,Low,8.768801769871889
18,Low,11.710546067760891
20,Low,29.063018373548015
20,Low,19.700246669677647
20,Low,21.385519758263463
20,Low,20.541939292185422
22,Low,41.67228276976057
22,Low,24.312101657604362
22,Low,17.19491878205837
22,Low,29.89654693863635
24,Low,37.534600574131176
24,Low,26.295229230264173
24,Low,46.940233531899814
24,Low,35.45774296207915
26,Low,8.77048435130655
26,Low,11.714054144040677
26,Low,9.903602168051284
12,Ambient,10.262592101558425
12,Ambient,3.0155218315088943
12,Ambient,6.152520462358296
14,Ambient,9.073857315382757
14,Ambient,8.405228934733762
14,Ambient,7.912607590372081
14,Ambient,10.48558843355103
16,Ambient,9.120008544781552
16,Ambient,3.2254131330055005
16,Ambient,12.2630332897155
16,Ambient,11.447831095099755
18,Ambient,16.29196126978219
18,Ambient,19.521651454765934
18,Ambient,18.332570918808447
18,Ambient,15.683380952437586
20,Ambient,9.45433292221546
20,Ambient,16.65779581440627
20,Ambient,19.72729830752592
20,Ambient,24.16132384423248
22,Ambient,24.267276804233994
22,Ambient,11.188600666781246
22,Ambient,21.385522327777657
22,Ambient,18.301784417122867
24,Ambient,22.6304780136143
24,Ambient,31.780936278530294
24,Ambient,19.865574546124826
26,Ambient,11.204225605893068
26,Ambient,15.34041846254889
26,Ambient,19.00709777618742
26,Ambient,15.359941509637109
